Date,Open,High,Low,Close,Volume
2024-04-01,90.299,92.225,89.204,90.363,452441490
2024-04-02,88.448,90.094,87.62,89.452,433063550
2024-04-03,88.484,90.374,88.4,88.964,370066550
2024-04-04,90.406,90.634,85.88,85.905,434964920
2024-04-05,86.866,88.481,85.926,88.008,399678460
2024-04-08,88.7,88.83,86.732,87.133,283220000
2024-04-09,87.442,87.635,83.022,85.354,503547350
2024-04-10,83.926,87.4,83.709,87.039,431928530
2024-04-11,87.42,90.739,86.926,90.616,431637270
2024-04-12,89.699,90.175,87.53,88.186,426804790
2024-04-15,89.098,90.613,85.929,86.001,443076950
2024-04-16,86.4325,88.118,86.0639,87.415,370453020
2024-04-17,88.34,88.775,83.95,84.035,495399510
2024-04-18,84.97,86.19,82.402,84.671,447260340
2024-04-19,83.15,84.324,75.606,76.2,871480670
2024-04-22,78.104,80.073,76.4,79.518,596340510
2024-04-23,80.769,82.769,80.264,82.423,438559370
2024-04-24,83.95,84.082,79.183,79.677,512207530
2024-04-25,78.868,83.323,78.223,82.632,424640730
2024-04-26,83.818,88.3309,83.387,87.735,551010780
2024-04-29,87.595,87.992,85.266,87.757,388970760
2024-04-30,87.24,88.819,86.3,86.402,363708700
2024-05-01,85.077,86,81.2546,83.041,559863170
2024-05-02,84.449,86.237,83.2,85.817,377897540
2024-05-03,87.789,89.281,87.04,88.789,398340720
2024-05-06,89.39,92.22,89.055,92.14,376202550
2024-05-07,91.098,91.781,89.011,90.554,437341610
2024-05-08,89.4825,91.194,89.42,90.412,325721020
2024-05-09,90.529,91.072,88.231,88.747,378012680
2024-05-10,90.3045,91.401,89.227,89.878,335325410
2024-05-13,90.478,90.998,88.529,90.399,289680170
2024-05-14,89.599,91.651,88.934,91.356,296507080
2024-05-15,92.472,94.862,91.599,94.63,417735450
2024-05-16,94.91,95.819,94.103,94.359,323951820
2024-05-17,94.369,94.74,91.806,92.479,359691030
2024-05-20,93.75,95.2,93.44,94.78,318764460
2024-05-21,93.599,95.4,93.18,95.386,328946460
2024-05-22,95.459,96.02,93.249,94.95,548647990
2024-05-23,102.028,106.32,101.52,103.799,835065280
2024-05-24,104.449,106.475,103,106.469,429493670
2024-05-28,110.244,114.939,109.883,113.901,652727890
2024-05-29,113.05,115.492,110.901,114.825,557441930
2024-05-30,114.65,115.819,109.663,110.5,487350330
2024-05-31,112.52,112.717,106.94,109.633,613262500
2024-06-03,113.621,115,112.003,115,438391760
2024-06-04,115.716,116.6,114.045,116.437,403324010
2024-06-05,118.371,122.449,117.468,122.44,528401780
2024-06-06,124.048,125.587,118.32,120.998,664696190
2024-06-07,119.77,121.692,118.022,120.888,412385800
2024-06-10,120.37,123.1,117.01,121.79,314162650
2024-06-11,121.77,122.87,118.74,120.91,222551158
2024-06-12,123.06,126.88,122.57,125.2,299595001
2024-06-13,129.39,129.8,127.16,129.61,260704537
2024-06-14,129.96,132.84,128.32,131.88,309320376
2024-06-17,132.99,133.73,129.58,130.98,288504444
2024-06-18,131.14,136.33,130.69,135.58,294335054
2024-06-20,139.8,140.76,129.52,130.78,517768425
2024-06-21,127.12,130.63,124.3,126.57,655484664
2024-06-24,123.24,124.46,118.04,118.11,476060866
2024-06-25,121.2,126.5,119.32,126.09,425787456
2024-06-26,126.13,128.12,122.6,126.4,362975918
2024-06-27,124.1,126.41,122.92,123.99,252571693
2024-06-28,124.58,127.71,122.75,123.54,315516740
2024-07-01,123.47,124.84,118.83,124.3,284885534
2024-07-02,121.13,123.41,121.03,122.67,218373969
2024-07-03,121.66,128.28,121.36,128.28,215748955
2024-07-05,127.38,128.85,125.68,125.83,214176689
2024-07-08,127.49,130.77,127.04,128.2,237677322
2024-07-09,130.35,133.82,128.65,131.38,287020820
2024-07-10,134.03,135.1,132.42,134.91,248978569
2024-07-11,135.75,136.15,127.05,127.4,374782738
2024-07-12,128.26,131.92,127.22,129.24,252680535
2024-07-15,130.56,131.39,127.18,128.44,208326164
2024-07-16,128.44,129.04,124.58,126.36,214769515
2024-07-17,121.35,121.85,116.72,117.99,390086189
2024-07-18,121.85,122.4,116.56,121.09,320979530
2024-07-19,120.35,121.6,117.37,117.93,217223800
2024-07-22,120.35,124.07,119.86,123.54,258068943
2024-07-23,122.78,124.69,122.1,122.59,173910983
2024-07-24,119.17,119.95,113.44,114.25,327776884
2024-07-25,113.04,116.63,106.3,112.28,460067019
2024-07-26,116.19,116.2,111.58,113.06,293399073
2024-07-29,113.69,116.28,111.3,111.59,248152068
2024-07-30,111.52,111.99,102.54,103.73,486833274
2024-07-31,112.9,118.34,110.88,117.02,473174182
2024-08-01,117.53,120.16,106.8104,109.21,523462326
2024-08-02,103.76,108.72,101.37,107.27,482027464
2024-08-05,92.06,103.41,90.69,100.45,552842375
2024-08-06,103.84,107.71,100.55,104.25,409012089
2024-08-07,107.81,108.8,98.69,98.91,411440423
2024-08-08,102,105.5,97.52,104.97,391910023
2024-08-09,105.64,106.6,103.43,104.75,290844157
2024-08-12,106.32,111.07,106.26,109.02,325559870
2024-08-13,112.44,116.23,111.58,116.14,312646660
2024-08-14,118.53,118.6,114.07,118.08,339246407
2024-08-15,118.76,123.24,117.47,122.86,318086673
2024-08-16,121.94,125,121.18,124.58,302589872
2024-08-19,124.28,130,123.42,130,318333577
2024-08-20,128.4,129.88,125.89,127.25,300087415
2024-08-21,127.315,129.35,126.66,128.5,257883572
2024-08-22,130.02,130.75,123.1,123.74,376189076
2024-08-23,125.86,129.6,125.22,129.37,323230332
2024-08-26,129.57,131.26,124.37,126.46,331964672
2024-08-27,125.05,129.2,123.88,128.3,303134573
2024-08-28,128.12,128.33,122.64,125.61,448101115
2024-08-29,121.355,124.43,116.71,117.59,453023305
2024-08-30,119.53,121.75,117.22,119.37,333751583
2024-09-03,116.01,116.21,107.29,108,477155100
2024-09-04,105.41,113.27,104.12,106.21,372470291
2024-09-05,104.985,109.65,104.76,107.21,306850696
2024-09-06,108.04,108.15,100.95,102.83,413638098
2024-09-09,104.88,106.55,103.69,106.47,273912015
2024-09-10,107.81,109.4,104.95,108.1,268283736
2024-09-11,109.39,117.19,107.42,116.91,441422370
2024-09-12,116.84,120.79,115.38,119.14,367100496
2024-09-13,119.08,119.955,117.6,119.1,238358328
2024-09-16,116.79,118.18,114.36,116.78,248772308
2024-09-17,118.17,118.8,114.83,115.59,231925876
2024-09-18,115.89,117.7,113.22,113.37,310318937
2024-09-19,117.35,119.66,117.25,117.87,293506438
2024-09-20,117.06,118.6181,115.3901,116,382462428
2024-09-23,116.55,116.99,114.86,116.26,206228490
2024-09-24,116.515,121.8,115.38,120.87,354966772
