Date,Open,High,Low,Close,Volume,Prev_Close,Prev_High,Prev_Low,Prev_Volume,MA5_Close,MA10_Close,Volatility_Close,MA5_Volume,MA10_Volume,Volatility_Volume,MA5_Open,MA10_Open,Volatility_Open,MA5_High,MA10_High,Volatility_High,MA5_Low,MA10_Low,Volatility_Low,MACD_Close,MACD_Volume,MACD_Open,MACD_High,MACD_Low,RSI_14_Close,RSI_14_Volume,RSI_14_Open,RSI_14_High,RSI_14_Low
2024-05-20,93.75,95.2,93.44,94.78,318764460,92.479,94.74,91.806,359691030.0,93.5208,91.7594,1.5239910432807542,343329968.0,348273073.0,47368818.185829476,93.02000000000001,91.69919999999999,2.1170938807714124,94.45439999999999,92.87180000000001,1.6220981166378474,91.9764,90.42999999999999,2.005755294147202,0.7840784922097725,-9424904.398332715,0.8153896917031744,0.7767286938090194,0.8741339895125293,75.71292504573748,35.587728349498306,74.51794859211404,81.81181567320753,79.51683930180357
2024-05-21,93.599,95.4,93.18,95.386,328946460,94.78,95.2,93.44,318764460.0,94.3268,92.2426,1.0993892395325513,349817844.0,337433558.0,41168129.457316,93.82,91.9493,0.9165623273950051,95.20419999999999,93.2337,0.43269989600190184,92.8256,90.84689999999999,1.0815462542117364,0.8943689785559883,-9679200.9572196,0.8289018102469043,0.826236158751442,0.9286452765294939,76.38797984489312,36.42121291672517,73.83906366240834,82.07874993482031,78.45262827419569
2024-05-22,95.459,96.02,93.249,94.95,548647990,95.386,95.4,93.18,328946460.0,94.3908,92.6964,1.130331234638751,376000352.0,359726255.0,97816494.85109487,94.4174,92.54695000000001,0.781845445084725,95.4358,93.7163,0.5072358425821807,93.15559999999999,91.2298,0.838031801305542,0.9403722177150371,3574322.646033585,0.9415447143133377,0.8910200232512295,0.9625208711151174,74.77756809105817,51.1190455163345,76.659767518281,82.91582008371184,78.53472782338474
2024-05-23,102.028,106.32,101.52,103.799,835065280,94.95,96.02,93.249,548647990.0,96.2788,94.2016,4.353191093898816,478223044.0,405431515.0,220259183.2917943,95.84100000000001,93.69685000000001,3.5351987921472934,97.53599999999999,95.2411,4.931884021345191,94.63899999999998,92.5587,3.901039348686355,1.5114025541169553,31362430.432777584,1.4222857567683747,1.5667801454944197,1.4882580541563755,82.73370466924285,63.096394224094134,83.44765976672957,90.69313793062348,85.6119696092369
2024-05-24,104.449,106.475,103.0,106.469,429493670,103.799,106.32,101.52,835065280.0,99.0768,95.8607,5.6137947682472245,492183572.0,414848341.0,212959305.46398687,97.857,95.1113,5.039844293229657,99.883,96.74849999999999,5.954829552556479,96.87780000000001,93.93599999999999,4.941956515389331,2.0985083039866765,26687382.42273557,1.9256391053380923,2.07484174880004,1.965931361314503,84.33893575650879,45.93312519601946,85.16054092156247,90.76129308977069,86.47150509327197
2024-05-28,110.244,114.939,109.883,113.901,652727890,106.469,106.475,103.0,429493670.0,102.901,98.2109,7.972306034015491,558976258.0,451153113.0,196723561.28242385,101.1558,97.0879,6.777905922923341,103.8308,99.1426,8.195532362208082,100.1664,96.0714,7.087560320730873,3.000934005313553,37090169.16161746,2.6607913327975723,2.983010707729889,2.7506520563526067,87.7522372181427,53.44040448815111,88.28544843808459,93.54241842357116,89.5870730373573
2024-05-29,113.05,115.492,110.901,114.825,557441930,113.901,114.939,109.883,652727890.0,106.7888,100.5578,8.129610396568813,604675352.0,477246598.0,151201230.5562895,105.046,99.43299999999999,6.936471040810239,107.8492,101.52669999999999,7.950385317706312,103.7106,98.26809999999999,7.151033652556701,3.7204934216807146,38449358.11551696,3.3782067217026253,3.6830296142920957,3.388638210163492,88.09950631889302,50.23411390070918,89.44453169515585,93.67635520812955,89.95551304104998
2024-05-30,114.65,115.819,109.663,110.5,487350330,114.825,115.492,110.901,557441930.0,109.89880000000001,102.1448,4.733328131452509,592415820.0,484208086.0,159155476.93786034,108.8842,101.6508,5.457239980063085,111.80900000000001,103.6224,4.950307212688935,106.9934,100.0745,4.377534728588475,3.945714034684542,34401462.72955471,3.997866987307461,4.201374687606517,3.7590442227474767,77.08241429886141,47.954886014148066,90.04912842653833,93.75878755455707,85.97159398490022
2024-05-31,112.52,112.717,106.94,109.633,613262500,110.5,115.819,109.663,487350330.0,111.06559999999999,103.6722,3.3791108001957695,548055264.0,513139154.0,90882330.98745915,110.9826,103.4118,3.9787253989184608,113.08840000000001,105.3122,3.890153827292704,108.07740000000001,101.3582,3.194554162946389,4.014912464692102,39303352.975271225,4.28710603684236,4.344551421039583,3.8183773989155867,75.05614199239548,52.154563528337825,83.21567502183244,82.73976622834776,77.80907061229874
2024-06-03,113.621,115.0,112.003,115.0,438391760,109.633,112.717,106.94,613262500.0,112.77179999999998,105.92429999999999,2.5233280999504695,549834882.0,521009227.0,88022425.6645201,112.81700000000001,105.33699999999999,1.6408177839110476,114.79339999999999,107.3382,1.2160609770895614,109.878,103.3779,1.8868126563063943,4.385604788482368,30758690.352576494,4.535399992415677,4.559188799328524,4.163095562989412,78.77556095480873,46.53791759090023,83.89595221981224,84.21054027479559,81.35394503316273
